datetime,open,high,low,close,trend_identified,event
2025-04-02 15:28:00,562.9398,562.97,562.9298,562.95,,
2025-04-02 15:28:04,562.94,562.987,562.91,562.94,,
2025-04-02 15:28:08,562.93,562.99,562.93,562.96,,
2025-04-02 15:28:12,562.945,563.06,562.945,563.015,,
2025-04-02 15:28:16,563.0003,563.0603,562.98,563.04,,
2025-04-02 15:28:20,563.03,563.06,563.025,563.04,,
2025-04-02 15:28:24,563.045,563.17,562.6671,563.1,,
2025-04-02 15:28:28,563.1,563.145,563.09,563.12,,
2025-04-02 15:28:32,563.1,563.17,562.9564,563.16,,
2025-04-02 15:28:36,563.17,563.17,563.1003,563.15,,
2025-04-02 15:28:40,563.1572,563.2,563.13,563.1848,,
2025-04-02 15:28:44,563.2,563.29,563.2,563.2489,,
2025-04-02 15:28:48,563.245,563.295,563.1863,563.25,,
2025-04-02 15:28:52,563.25,563.32,563.25,563.3193,,
2025-04-02 15:28:56,563.315,563.3702,562.7585,563.35,,
2025-04-02 15:29:00,563.34,563.3598,562.7779,563.2753,,
2025-04-02 15:29:04,563.2501,563.32,563.25,563.32,,
2025-04-02 15:29:08,563.2662,563.38,563.2662,563.345,,
2025-04-02 15:29:12,562.7593,563.35,562.7593,563.3,,
2025-04-02 15:29:16,563.3,563.31,562.5031,562.5031,,
2025-04-02 15:29:20,563.19,563.2967,563.0,563.23,,
2025-04-02 15:29:24,563.2302,563.24,563.17,563.1715,,
2025-04-02 15:29:28,563.18,563.31,563.18,563.29,,
2025-04-02 15:29:32,563.3,563.3,562.9498,563.18,,
2025-04-02 15:29:36,563.19,563.24,563.14,563.23,,
2025-04-02 15:29:40,563.235,563.263652,563.18,563.18,,
2025-04-02 15:29:44,563.1798,563.26,563.16,563.19,,
2025-04-02 15:29:48,563.18,563.185,563.05,563.08,,
2025-04-02 15:29:52,563.08,563.22,563.07,563.2,,
2025-04-02 15:29:56,563.195,563.2199,562.855,563.1905,,
2025-04-02 15:30:00,563.18,563.18,562.635,562.8,,
2025-04-02 15:30:04,562.82,562.957,562.81,562.9499,,
2025-04-02 15:30:08,562.94,562.995,562.6995,562.93,,
2025-04-02 15:30:12,562.93,562.95,562.82,562.85,,
2025-04-02 15:30:16,562.8407,562.96,562.8407,562.93,,
2025-04-02 15:30:20,562.9199,562.95,562.86,562.9,,
2025-04-02 15:30:24,562.8801,562.9301,562.8601,562.9301,,
2025-04-02 15:30:28,562.94,563.05,562.9152,563.04,,
2025-04-02 15:30:32,563.03,563.1,562.8986,563.06,,
2025-04-02 15:30:36,563.07,563.13,563.07,563.11,,
2025-04-02 15:30:40,563.11,563.1282,563.0803,563.12,,
2025-04-02 15:30:44,563.13,563.195,563.1,563.1099,,
2025-04-02 15:30:48,563.1198,563.16,563.0521,563.155,,
2025-04-02 15:30:52,563.15,563.19,563.15,563.15,,
2025-04-02 15:30:56,563.15,563.26,563.15,563.21,,
2025-04-02 15:31:00,563.2,563.3101,563.15,563.3047,,
2025-04-02 15:31:04,563.31,563.4,562.7829,563.33,,
2025-04-02 15:31:08,563.33,563.35,563.3,563.3209,,
2025-04-02 15:31:12,563.3099,563.39,563.28,563.36,,
2025-04-02 15:31:16,563.38,563.4,563.2746,563.33,,
2025-04-02 15:31:20,563.34,563.39,563.34,563.39,,
2025-04-02 15:31:24,563.38,563.48,563.35,563.47,,
2025-04-02 15:31:28,563.4602,563.52,563.43,563.46,,
2025-04-02 15:31:32,563.45,563.55,563.3806,563.53,,
2025-04-02 15:31:36,563.53,563.58,562.8507,563.56,,
2025-04-02 15:31:40,563.57,563.62,563.5509,563.58,,
2025-04-02 15:31:44,563.578072,563.63,562.8635,563.59,,
2025-04-02 15:31:48,561.165,563.67,561.165,563.6501,,
2025-04-02 15:31:52,563.65,563.74,562.8962,563.67,,
2025-04-02 15:31:56,563.6801,563.73,563.0993,563.66,,
2025-04-02 15:32:00,563.6601,563.69,563.64,563.64,,
2025-04-02 15:32:04,563.645,563.647,563.121,563.5507,,
2025-04-02 15:32:08,563.57,563.595,563.54,563.56,,
2025-04-02 15:32:12,563.57,563.59,563.5,563.555,,
2025-04-02 15:32:16,563.56,563.73,563.56,563.7,,
2025-04-02 15:32:20,563.7,563.85,563.7,563.755,,
2025-04-02 15:32:24,563.76,563.78,563.66,563.68,,
2025-04-02 15:32:28,563.6801,563.775,563.1906,563.76,,
2025-04-02 15:32:32,563.76,563.79,563.69,563.77,,
2025-04-02 15:32:36,563.775,563.82,563.3102,563.7798,,
2025-04-02 15:32:40,563.78,563.82,563.76,563.76,,
2025-04-02 15:32:44,563.76,563.81,563.6443,563.78,,
2025-04-02 15:32:48,563.77,563.825,563.75,563.8,,
2025-04-02 15:32:52,563.8009,563.825,563.75,563.78,,
2025-04-02 15:32:56,563.765,563.8,563.2653,563.72,,
2025-04-02 15:33:00,563.7,563.88,563.7,563.83,,
2025-04-02 15:33:04,563.8312,563.84,563.2826,563.77,,
2025-04-02 15:33:08,563.77,563.93,563.75,563.9296,,
2025-04-02 15:33:12,563.92,563.94,563.8724,563.925,,
2025-04-02 15:33:16,563.9399,563.98,563.92,563.9698,,
2025-04-02 15:33:20,563.96,564.01,563.3311,563.92,,
2025-04-02 15:33:24,563.92,564.02,563.1482,564.015,,
